cliente_id,cliente_nombre,cliente_ip,cliente_mac,matched
,,172.24.78.86,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.22,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.124,nan,False
,,172.24.78.131,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.17,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.134,nan,False
,,nan,nan,False
,,172.24.81.12,nan,False
,,172.24.77.36,nan,False
,,172.24.79.67,nan,False
,,172.24.76.11,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.70,nan,False
,,nan,nan,False
,,172.24.81.24,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.81.28172.24.75.4,nan,False
,,172.24.51.66,nan,False
,,172.24.76.51,nan,False
,,nan,nan,False
,,172.24.78.144,nan,False
,,172.24.81.82,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.41,nan,False
,,172.24.78.145,nan,False
,,172.24.79.71,nan,False
,,172.24.76.15,nan,False
,,nan,nan,False
,,172.24.76.52,nan,False
,,172.24.76.42,nan,False
,,172.24.78.146,nan,False
,,172.24.79.93,60:22:32:b8:31:6e,False
,,172.24.78.181,nan,False
,,nan,nan,False
,,172.24.79.74,nan,False
,,172.24.78.108,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.84,24:5a:4c:e8:f3:33,False
,,172.24.51.90,nan,False
,,172.24.76.22,nan,False
,,172.24.51.12,nan,False
,,172.24.77.15,60:22:32:b8:33:cd,False
,,172.24.78.117,nan,False
,,nan,nan,False
,,172.24.83.58,nan,False
,,172.24.51.97,nan,False
,,172.24.51.42,nan,False
,,172.24.79.76,nan,False
,,172.24.76.43,nan,False
,,172.24.76.44,nan,False
,,172.24.76.55,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.108,nan,False
,,172.24.76.71,nan,False
,,172.24.83.89,nan,False
,,nan,nan,False
,,172.24.40.33,04:18:d6:32:e7:e1,False
,,172.24.40.34,64:d1:54:a7:2c:dd,False
,,nan,nan,False
,,nan,nan,False
,,10.5.40.102,c4:71:54:2b:51:67,False
,,nan,nan,False
,,10.5.40.227,bc:62:ce:0f:3b:47,False
,,172.24.40.38,24:a4:3c:0a:33:20,False
,,172.24.40.39,00:0c:42:2d:f8:74,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.128,nan,False
,,172.24.78.27,nan,False
,,nan,nan,False
,,172.24.77.38,nan,False
,,172.24.78.138,nan,False
,,172.24.76.46,nan,False
,,172.24.81.87,nan,False
,,172.24.78.40,nan,False
,,172.24.80.56,nan,False
,,172.24.78.149,nan,False
,,nan,nan,False
,,172.24.78.152,nan,False
,,172.24.79.78,nan,False
,,172.24.51.31,nan,False
,,172.24.81.78,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.43,nan,False
,,172.24.51.80,nan,False
,,172.24.79.52,nan,False
,,172.24.76.30,nan,False
,,172.24.81.95,nan,False
,,172.24.78.125,nan,False
,,172.24.51.26,nan,False
,,172.24.78.140,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.84,nan,False
,,172.24.40.40,nan,False
,,172.24.51.87,nan,False
,,172.24.79.82,nan,False
,,172.24.40.41,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.45,nan,False
,,172.24.51.91,fc:ec:da:28:e3:95,False
,,nan,nan,False
,,172.24.76.66,nan,False
,,172.24.79.62,nan,False
,,172.24.75.21,fc:ec:da:c0:25:ea,False
,,172.24.51.46,nan,False
,,172.24.79.60,nan,False
,,172.24.78.83172.24.78.151,nan,False
,,nan,nan,False
,,172.24.80.63,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.137,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.156172.24.78.155,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.159,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.160,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.19172.24.79.61172.24.51.55,nan,False
,,172.24.78.162,nan,False
,,172.24.78.161,b4:fb:e4:62:96:e2,False
,,172.24.79.81,nan,False
,,nan,nan,False
,,172.24.78.130,nan,False
,,172.24.78.164,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.4,nan,False
,,nan,nan,False
,,172.24.51.93,nan,False
,,172.24.78.8,nan,False
,,nan,nan,False
,,172.24.81.93,nan,False
,,nan,nan,False
,,172.24.81.97,nan,False
,,172.24.80.66,nan,False
,,172.24.51.111,nan,False
,,172.24.79.72,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.45,nan,False
,,172.24.80.73,nan,False
,,172.24.79.100,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.177,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.31,nan,False
,,172.24.78.33,nan,False
,,172.24.78.32,nan,False
,,172.24.79.63,nan,False
,,172.24.79.99,fc:ec:da:0c:9d:fe,False
,,172.24.81.18,nan,False
,,172.24.78.75,nan,False
,,nan,nan,False
,,172.24.81.22172.24.81.99,b4:fb:e4:66:43:8f,False
,,172.24.76.59,nan,False
,,172.24.78.44,nan,False
,,nan,nan,False
,,172.24.77.18,70:a7:41:20:81:c3,False
,,172.24.80.4,nan,False
,,172.24.78.3,nan,False
,,172.24.78.205,nan,False
,,nan,nan,False
,,172.24.78.55,nan,False
,,172.24.78.59,nan,False
,,nan,nan,False
,,172.24.76.8,nan,False
,,172.24.78.179,24:5a:4c:bc:db:29,False
,,172.24.81.74,nan,False
,,172.24.78.95,nan,False
,,172.24.81.79,nan,False
,,172.24.78.106,nan,False
,,172.24.78.169,nan,False
,,172.24.78.111,nan,False
,,172.24.78.100172.24.51.107,b4:fb:e4:a4:45:f6,False
,,172.24.78.147,nan,False
,,172.24.51.33,nan,False
,,172.24.78.139,nan,False
,,172.24.81.60,nan,False
,,nan,nan,False
,,172.24.83.94,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.64,nan,False
,,nan,nan,False
,,172.24.81.14172.24.81.83,nan,False
,,172.24.79.30,nan,False
,,172.24.51.53,fc:ec:da:5e:09:f6,False
,,172.24.81.75,44:d9:e7:aa:ed:a3,False
,,172.24.51.83,f4:92:bf:3e:bf:79,False
,,172.24.51.95,60:22:32:b8:33:13,False
,,172.24.75.10,60:22:32:dc:36:e3,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.89,nan,False
,,172.24.79.33,nan,False
,,172.24.78.133,nan,False
,,172.24.51.65,nan,False
,,172.24.78.14,nan,False
,,172.24.51.94,nan,False
,,nan,nan,False
,,172.24.78.167,24:5a:4c:bc:d8:00,False
,,172.24.78.168172.24.78.148,nan,False
,,172.24.51.99,70:a7:41:20:88:7a,False
,,172.24.78.52,nan,False
,,172.24.78.23,nan,False
,,172.24.78.173,b4:fb:e4:66:a6:f9,False
,,172.24.51.136,b4:fb:e4:de:44:3a,False
,,172.24.80.57,fc:ec:da:28:df:b0,False
,,nan,nan,False
,,172.24.80.26,nan,False
,,nan,nan,False
,,172.24.76.56,60:22:32:dc:3b:f2,False
,,172.24.51.39,60:22:32:dc:4e:76,False
,,172.24.78.172,nan,False
,,172.24.79.88172.24.79.79,nan,False
,,172.24.51.69,44:d9:e7:6a:3f:b8,False
,,172.24.51.6172.24.79.39172.24.77.16172.24.51.2,nan,False
,,172.24.51.98,nan,False
,,172.24.79.41,2c:c8:1b:24:22:c5,False
,,172.24.78.184,60:22:32:dc:34:f2,False
,,nan,nan,False
,,172.24.78.178,60:22:32:dc:3a:5e,False
,,172.24.78.189,70:a7:41:20:80:2c,False
,,172.24.81.86,60:22:32:dc:35:6d,False
,,172.24.76.27,18:e8:29:84:67:a7,False
,,172.24.78.43,60:22:32:dc:35:65,False
,,172.24.81.41,f0:9f:c2:b2:45:ac,False
,,172.24.76.12,60:22:32:dc:32:94,False
,,172.24.78.68,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.52,60:22:32:dc:3a:74,False
,,172.24.80.54,60:22:32:dc:39:97,False
,,172.24.75.11,74:ac:b9:78:ef:84,False
,,nan,nan,False
,,172.24.78.79,nan,False
,,nan,nan,False
,,172.24.78.142,60:22:32:b8:2d:84,False
,,172.24.78.176,fc:ec:da:28:df:28,False
,,172.24.77.44172.24.77.219,60:22:32:dc:2f:8c,False
,,nan,nan,False
,,172.24.78.253,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.44,70:a7:41:1e:22:3a,False
,,nan,nan,False
,,172.24.81.25,74:83:c2:56:be:79,False
,,172.24.76.33,60:22:32:dc:22:00,False
,,172.24.79.85,70:a7:41:1e:20:d1,False
,,172.24.76.21,60:22:32:dc:1e:cb,False
,,172.24.78.93,nan,False
,,172.24.78.101,fc:ec:da:52:f9:7c,False
,,nan,nan,False
,,172.24.79.86,nan,False
,,172.24.51.101,f4:92:bf:d8:45:42,False
,,172.24.78.171,60:22:32:b8:23:8a,False
,,nan,nan,False
,,172.24.80.13,nan,False
,,nan,nan,False
,,172.24.80.31,e0:63:da:4a:8c:62,False
,,172.24.83.100,c4:ad:34:06:5f:01,False
,,nan,nan,False
,,172.24.78.103,nan,False
,,172.24.51.73,nan,False
,,172.24.51.81,60:22:32:dc:4d:4e,False
,,172.24.79.69,nan,False
,,172.24.51.16,60:22:32:dc:27:95,False
,,172.24.80.38,60:22:32:b8:2d:d4,False
,,172.24.78.121,nan,False
,,nan,nan,False
,,172.24.51.32,19:e8:29:dc:0b:d4,False
,,172.24.79.34,78:8a:20:cc:b5:9b,False
,,172.24.51.150,nan,False
,,172.24.51.100,74:ac:b9:7a:e5:91,False
,,172.24.51.103,24:5a:4c:ee:2b:be,False
,,nan,nan,False
,,172.24.76.24,60:22:32:dc:3c:a8,False
,,172.24.78.136,fc:ec:da:26:94:22,False
,,nan,nan,False
,,172.24.80.20,f4:92:bf:d2:a1:d2,False
,,nan,nan,False
,,172.24.80.11,70:a7:41:20:99:67,False
,,nan,nan,False
,,172.24.79.65,60:22:32:dc:1c:b8,False
,,nan,nan,False
,,172.24.51.105,60:22:32:dc:1d:b2,False
,,172.24.79.75,60:22:32:dc:41:c4,False
,,172.24.78.183,60:22:32:dc:28:9a,False
,,172.24.75.20,60:22:32:dc:1c:87,False
,,172.24.77.20,60:22:32:dc:24:1d,False
,,nan,nan,False
,,172.24.78.157,60:22:32:dc:3c:dc,False
,,172.24.76.28,24:5a:4c:ee:30:cc,False
,,nan,nan,False
,,172.24.81.42,70:a7:41:20:99:e8,False
,,172.24.81.48,70:a7:41:20:bc:09,False
,,172.24.51.48,fc:ec:da:28:eb:09,False
,,172.24.78.190,60:22:32:dc:24:2a,False
,,nan,nan,False
,,172.24.78.118,nan,False
,,172.24.76.26,24:5a:4c:bc:d8:e3,False
,,172.24.80.42,fc:ec:da:28:df:5d,False
,,nan,nan,False
,,172.24.79.4172.24.79.9,70:a7:41:20:bc:05,False
,,172.24.80.77,nan,False
,,172.24.77.29,nan,False
,,172.24.78.17,74:83:c2:56:bb:a0,False
,,172.24.79.66,18:e8:29:d8:74:22,False
,,172.24.76.34,e4:38:83:b0:6a:5e,False
